73	h5nc	4B	5000				
-	167	SI_ASCIIBig_w	6	211	376	12	14
-	168	SI_ASCIIBig_x	6	225	376	12	14
-	169	SI_ASCIIBig_y	6	239	376	12	14
-	170	SI_ASCIIBig_z	6	1	390	12	14
-	171	SI_ASCIIBig_{	6	15	390	12	14
-	172	SI_ASCIIBig_|	6	29	390	12	14
-	173	SI_ASCIIBig_}	6	43	390	12	14
-	174	SI_ASCIIBig_~	6	57	390	12	14
-	175	SI_ASCIIBig_BS	6	71	390	12	14
-	176	SI_ASCIIBig_End	6	85	390	12	14
-	177	SI_ASCIIBig_Block	6	99	390	12	14
#		DigitCharacter(180~219)					
-	180	SI_DigitCharacter_0	6	0	424	8	8
-	181	SI_DigitCharacter_1	6	8	424	8	8
-	182	SI_DigitCharacter_2	6	16	424	8	8
-	183	SI_DigitCharacter_3	6	24	424	8	8
-	184	SI_DigitCharacter_4	6	32	424	8	8
-	185	SI_DigitCharacter_5	6	40	424	8	8
-	186	SI_DigitCharacter_6	6	48	424	8	8
-	187	SI_DigitCharacter_7	6	56	424	8	8
-	188	SI_DigitCharacter_8	6	64	424	8	8
-	189	SI_DigitCharacter_9	6	72	424	8	8
-	190	SI_DigitCharacter_FadeI_0	6	0	408	8	8
-	191	SI_DigitCharacter_FadeI_1	6	8	408	8	8
-	192	SI_DigitCharacter_FadeI_2	6	16	408	8	8
-	193	SI_DigitCharacter_FadeI_3	6	24	408	8	8
-	194	SI_DigitCharacter_FadeI_4	6	32	408	8	8
-	195	SI_DigitCharacter_FadeI_5	6	40	408	8	8
-	196	SI_DigitCharacter_FadeI_6	6	48	408	8	8
-	197	SI_DigitCharacter_FadeI_7	6	56	408	8	8
-	198	SI_DigitCharacter_FadeI_8	6	64	408	8	8
-	199	SI_DigitCharacter_FadeI_9	6	72	408	8	8
-	200	SI_DigitCharacter_FadeII_0	6	0	416	8	8
-	201	SI_DigitCharacter_FadeII_1	6	8	416	8	8
-	202	SI_DigitCharacter_FadeII_2	6	16	416	8	8
-	203	SI_DigitCharacter_FadeII_3	6	24	416	8	8
-	204	SI_DigitCharacter_FadeII_4	6	32	416	8	8
-	205	SI_DigitCharacter_FadeII_5	6	40	416	8	8
-	206	SI_DigitCharacter_FadeII_6	6	48	416	8	8
-	207	SI_DigitCharacter_FadeII_7	6	56	416	8	8
-	208	SI_DigitCharacter_FadeII_8	6	64	416	8	8
-	209	SI_DigitCharacter_FadeII_9	6	72	416	8	8
-	210	SI_DigitCharacter_Bonus	6	80	424	40	8
#		GameInfo(220~259)					
-	220	SI_GameInfo_0	6	256	175	12	12
-	221	SI_GameInfo_1	6	272	175	12	12
-	222	SI_GameInfo_2	6	288	175	12	12
-	223	SI_GameInfo_3	6	304	175	12	12
-	224	SI_GameInfo_4	6	320	175	12	12
-	225	SI_GameInfo_5	6	336	175	12	12
-	226	SI_GameInfo_6	6	352	175	12	12
-	227	SI_GameInfo_7	6	368	175	12	12
-	228	SI_GameInfo_8	6	384	175	12	12
-	229	SI_GameInfo_9	6	400	175	12	12
-	230	SI_GameInfo_Slash	6	416	175	12	12
-	231	SI_GameInfo_Colon	6	432	175	12	12
-	232	SI_GameInfo_Space	6	336	192	4	12
-	233	SI_GameInfo_Charge	6	256	192	48	14
-	234	SI_GameInfo_ChargeMax	6	304	192	32	14
-	235	SI_GameInfo_GaugeFilled	6	256	208	90	14
-	236	SI_GameInfo_GaugeLevel	6	256	224	36	14
-	237	SI_GameInfo_Caution	6	256	240	56	14
-	238	SI_GameInfo_LastLife	6	256	256	64	14
-	239	SI_GameInfo_Lily	6	256	272	88	14
-	240	SI_GameInfo_GameSet	6	0	176	256	48
-	241	SI_GameInfo_Winner	6	0	224	256	48
-	242	SI_GameInfo_DeadParrot	6	0	272	256	48
-	243	SI_GameInfo_Warning	6	0	96	256	64
-	244	SI_GameInfo_ClassFairy	6	256	96	100	16
-	245	SI_GameInfo_ClassWitch	6	256	112	100	16
-	246	SI_GameInfo_ClassDragon	6	256	128	100	16
-	247	SI_GameInfo_ClassGods	6	256	144	100	16
-	248	SI_GameInfo_SpellLine	6	0	64	256	32
-	249	SI_GameInfo_Ready	6	0	464	128	48
-	250	SI_GameInfo_GameStart	6	144	464	208	48
#		UIOther(260~319)					
-	260	SI_Enemy_X	6	208	416	48	16
-	261	SI_SpellPointDigitCharacter_0	6	320	32	8	11
-	262	SI_SpellPointDigitCharacter_1	6	328	32	8	11
-	263	SI_SpellPointDigitCharacter_2	6	336	32	8	11
-	264	SI_SpellPointDigitCharacter_3	6	344	32	8	11
-	265	SI_SpellPointDigitCharacter_4	6	352	32	8	11
-	266	SI_SpellPointDigitCharacter_5	6	360	32	8	11
-	267	SI_SpellPointDigitCharacter_6	6	368	32	8	11
-	268	SI_SpellPointDigitCharacter_7	6	376	32	8	11
-	269	SI_SpellPointDigitCharacter_8	6	384	32	8	11
-	270	SI_SpellPointDigitCharacter_9	6	392	32	8	11
-	271	SI_SpellPointDigitCharacter_Red_0	6	320	48	8	11
-	272	SI_SpellPointDigitCharacter_Red_1	6	328	48	8	11
-	273	SI_SpellPointDigitCharacter_Red_2	6	336	48	8	11
-	274	SI_SpellPointDigitCharacter_Red_3	6	344	48	8	11
-	275	SI_SpellPointDigitCharacter_Red_4	6	352	48	8	11
-	276	SI_SpellPointDigitCharacter_Red_5	6	360	48	8	11
-	277	SI_SpellPointDigitCharacter_Red_6	6	368	48	8	11
-	278	SI_SpellPointDigitCharacter_Red_7	6	376	48	8	11
-	279	SI_SpellPointDigitCharacter_Red_8	6	384	48	8	11
-	280	SI_SpellPointDigitCharacter_Red_9	6	392	48	8	11
-	281	SI_SpellPointDigitCharacter_Hit	6	400	32	16	11
-	282	SI_SpellPointDigitCharacter_Red_Hit	6	400	48	16	11
-	283	SI_SendItem_00	7	256	256	16	16
-	284	SI_SendItem_01	7	272	256	16	16
-	285	SI_SendItem_02	7	288	256	16	16
-	286	SI_SendItem_03	7	304	256	16	16
-	287	SI_SendItem_04	7	320	256	16	16
-	288	SI_SendItem_05	7	336	256	16	16
-	289	SI_SendItem_06	7	352	256	16	16
-	290	SI_SendItem_07	7	368	256	16	16
-	291	SI_SendItem_08	7	384	256	16	16
-	292	SI_SendItem_09	7	400	256	16	16
-	293	SI_SendItem_10	7	416	256	16	16
-	294	SI_SendItem_11	7	432	256	16	16
-	295	SI_SendItem_12	7	448	256	16	16
-	296	SI_SendItem_13	7	464	256	16	16
-	297	SI_SendItem_14	7	480	256	16	16
-	298	SI_SendItem_15	7	496	256	16	16
-	299	SI_Player_Point	7	256	272	64	64
-	300	SI_SendItem_Ex	7	320	272	64	64
-	301	SI_Enemy_Collapse_R	7	384	272	64	64
-	302	SI_Enemy_Collapse_B	7	448	272	64	64
-	303	SI_Enemy_Collapse_Y	7	256	272	64	64
-	304	SI_Enemy_Collapse_G	7	320	272	64	64
-	305	SI_Boss_TimeCircle	7	384	336	128	128
-	306	SI_Player_ChargeZone	7	384	336	128	128
-	307	SI_Item_Guard	7	256	464	16	16
-	308	SI_Item_Bullet	7	272	464	16	16
-	309	SI_Item_Ex	7	288	464	16	16
-	310	SI_Item_Point	7	304	464	16	16
-	311	SI_Player_ShotItem	7	320	480	32	32
#		Panel(320~399)					
-	320	SI_FrontPanel_Left_0	6	496	0	16	448
-	321	SI_FrontPanel_Right_0	6	448	0	16	448
-	322	SI_FrontPanel_Top_0	6	0	0	320	16
-	323	SI_FrontPanel_Bottom_0	6	0	32	320	16
-	324	SI_FrontPanel_Left_1	6	464	0	16	448
-	325	SI_FrontPanel_Right_1	6	480	0	16	448
-	326	SI_FrontPanel_Top_1	6	0	16	320	16
-	327	SI_FrontPanel_Bottom_1	6	0	48	320	16
-	329	SI_FrontPanel_SpellPoint	6	320	0	80	30
-	330	SI_FrontPanel_ComboBar	6	320	60	74	5
-	331	SI_FrontPanel_WinIndi	6	416	16	16	16
-	332	SI_FrontPanel_SlotBack	6	0	160	288	8
-	333	SI_FrontPanel_Slot	6	16	168	256	8
-	334	SI_FrontPanel_LifeIndi_Full	6	400	0	16	16
-	335	SI_FrontPanel_LifeIndi_Half	6	416	0	16	16
-	336	SI_FrontPanel_LifeIndi_Empty	6	432	0	16	16
-	337	SI_Front_Text	6	368	240	72	264
#		Face(400~499)					
-	400	SI_Face_01	110	0	0	-1	-1
-	401	SI_Face_02	111	0	0	-1	-1
-	402	SI_Face_03	112	0	0	-1	-1
-	403	SI_Face_04	113	0	0	-1	-1
-	404	SI_Face_05	114	0	0	-1	-1
-	405	SI_Face_06	115	0	0	-1	-1
-	406	SI_Face_07	116	0	0	-1	-1
-	407	SI_Face_08	117	0	0	-1	-1
-	408	SI_Face_09	118	0	0	-1	-1
-	409	SI_Face_10	119	0	0	-1	-1
-	410	SI_Face_11	120	0	0	-1	-1
-	411	SI_Face_12	121	0	0	-1	-1
-	412	SI_Face_13	122	0	0	-1	-1
-	413	SI_Face_14	123	0	0	-1	-1
-	414	SI_Face_15	124	0	0	-1	-1
-	415	SI_Face_16	125	0	0	-1	-1
-	416	SI_Face_17	126	0	0	-1	-1
-	417	SI_Face_18	127	0	0	-1	-1
-	418	SI_Face_19	128	0	0	-1	-1
-	419	SI_Face_20	129	0	0	-1	-1
-	420	SI_Face_21	130	0	0	-1	-1
-	421	SI_Face_22	131	0	0	-1	-1
-	422	SI_Face_23	132	0	0	-1	-1
-	423	SI_Face_24	133	0	0	-1	-1
#		MusicName(500~549)					
#		PlayerGhost(550~649)					
-	550	SI_PlayerGhost_00_01	10	64	144	16	16
-	551	SI_PlayerGhost_00_02	10	80	144	16	16
-	552	SI_PlayerGhost_01_01	11	176	144	16	16
-	553	SI_PlayerGhost_01_02	11	160	144	16	16
-	554	SI_PlayerGhost_02_01	12	128	144	32	32
-	555	SI_PlayerGhost_04_01	14	0	160	16	16
-	556	SI_PlayerGhost_05_01	15	0	192	32	32
-	557	SI_PlayerGhost_08_01	18	0	176	32	16
-	558	SI_PlayerGhost_08_02	18	0	192	32	16
-	559	SI_PlayerGhost_08_03	18	0	176	32	16
-	560	SI_PlayerGhost_08_04	18	0	192	32	16
-	561	SI_PlayerGhost_08_05	18	0	176	32	16
-	562	SI_PlayerGhost_08_06	18	0	192	32	16
-	563	SI_PlayerGhost_08_07	18	0	176	32	16
-	564	SI_PlayerGhost_08_08	18	0	192	32	16
-	565	SI_PlayerGhost_08_09	18	32	192	32	16
-	566	SI_PlayerGhost_08_10	18	64	192	32	16
-	567	SI_PlayerGhost_08_11	18	96	192	32	16
-	568	SI_PlayerGhost_08_12	18	128	192	32	16
-	569	SI_PlayerGhost_08_13	18	128	192	32	16
-	570	SI_PlayerGhost_08_14	18	128	192	32	16
-	571	SI_PlayerGhost_08_15	18	128	192	32	16
-	572	SI_PlayerGhost_08_16	18	128	192	32	16
-	573	SI_PlayerGhost_08_17	18	32	176	32	16
-	574	SI_PlayerGhost_08_18	18	64	176	32	16
-	575	SI_PlayerGhost_08_19	18	96	176	32	16
-	576	SI_PlayerGhost_08_20	18	128	176	32	16
-	577	SI_PlayerGhost_08_21	18	128	176	32	16
-	578	SI_PlayerGhost_08_22	18	128	176	32	16
-	579	SI_PlayerGhost_08_23	18	128	176	32	16
-	580	SI_PlayerGhost_08_24	18	128	176	32	16
-	581	SI_PlayerGhost_09_01	19	0	192	32	32
-	582	SI_PlayerGhost_10_01	20	0	160	16	16
-	583	SI_PlayerGhost_10_02	20	16	160	16	16
-	584	SI_PlayerGhost_15_01	25	192	144	32	32
-	585	SI_PlayerGhost_16_01	26	0	160	16	16
-	586	SI_PlayerGhost_16_02	26	16	160	16	16
-	587	SI_PlayerGhost_18_01	28	128	192	48	48
-	588	SI_PlayerGhost_18_02	28	32	192	32	16
-	589	SI_PlayerGhost_19_01	29	64	144	16	16
-	590	SI_PlayerGhost_19_02	29	96	144	16	16
-	591	SI_PlayerGhost_20_01	30	192	144	32	32
-	592	SI_PlayerGhost_21_01	31	128	144	32	48
-	593	SI_PlayerGhost_21_02	31	160	144	32	48
-	594	SI_PlayerGhost_21_03	31	192	144	32	48
-	595	SI_PlayerGhost_21_04	31	224	144	32	48
-	596	SI_PlayerGhost_21_05	31	128	192	32	48
-	597	SI_PlayerGhost_21_06	31	160	192	32	48
-	598	SI_PlayerGhost_21_07	31	192	192	32	48
-	599	SI_PlayerGhost_21_08	31	224	192	32	48
-	600	SI_PlayerGhost_21_09	31	128	192	32	48
-	601	SI_PlayerGhost_21_10	31	160	192	32	48
-	602	SI_PlayerGhost_21_11	31	192	192	32	48
-	603	SI_PlayerGhost_21_12	31	224	192	32	48
-	604	SI_PlayerGhost_21_13	31	80	144	48	48
-	605	SI_PlayerGhost_22_01	32	80	144	16	16
-	606	SI_PlayerGhost_22_02	32	64	144	16	16
#		SystemScene(650~699)					
-	650	SI_TitleScene	360	0	0	-1	-1
-	651	SI_SelectScene	361	0	0	-1	-1
-	652	SI_ReplayScene	362	0	0	-1	-1
#		Enemy(700~849)					
-	700	SI_EnemySprite_Blue_0	4	0	0	32	32
-	701	SI_EnemySprite_Blue_1	4	32	0	32	32
-	702	SI_EnemySprite_Blue_2	4	64	0	32	32
-	703	SI_EnemySprite_Blue_3	4	96	0	32	32
-	704	SI_EnemySprite_Blue_4	4	0	32	32	32
-	705	SI_EnemySprite_Blue_5	4	32	32	32	32
-	706	SI_EnemySprite_Blue_6	4	64	32	32	32
-	707	SI_EnemySprite_Blue_7	4	96	32	32	32
-	708	SI_EnemySprite_Blue_8	4	0	64	32	32
-	709	SI_EnemySprite_Blue_9	4	32	64	32	32
-	710	SI_EnemySprite_Blue_10	4	64	64	32	32
-	711	SI_EnemySprite_Blue_11	4	96	64	32	32
-	712	SI_EnemySprite_Red_0	4	0	96	48	32
-	713	SI_EnemySprite_Red_1	4	48	96	48	32
-	714	SI_EnemySprite_Red_2	4	96	96	48	32
-	715	SI_EnemySprite_Red_3	4	144	96	48	32
-	716	SI_EnemySprite_Red_4	4	0	128	48	32
-	717	SI_EnemySprite_Red_5	4	48	128	48	32
-	718	SI_EnemySprite_Red_6	4	96	128	48	32
-	719	SI_EnemySprite_Red_7	4	144	128	48	32
-	720	SI_EnemySprite_Red_8	4	0	160	48	32
-	721	SI_EnemySprite_Red_9	4	48	160	48	32
-	722	SI_EnemySprite_Red_10	4	96	160	48	32
-	723	SI_EnemySprite_Red_11	4	144	160	48	32
-	724	SI_EnemySprite_Green_0	4	0	192	48	48
-	725	SI_EnemySprite_Green_1	4	48	192	48	48
-	726	SI_EnemySprite_Green_2	4	96	192	48	48
-	727	SI_EnemySprite_Green_3	4	144	192	48	48
-	728	SI_EnemySprite_Green_4	4	0	240	48	48
-	729	SI_EnemySprite_Green_5	4	48	240	48	48
-	730	SI_EnemySprite_Green_6	4	96	240	48	48
-	731	SI_EnemySprite_Green_7	4	144	240	48	48
-	732	SI_EnemySprite_Green_8	4	0	288	48	48
-	733	SI_EnemySprite_Green_9	4	48	288	48	48
-	734	SI_EnemySprite_Green_10	4	96	288	48	48
-	735	SI_EnemySprite_Green_11	4	144	288	48	48
-	736	SI_EnemySprite_Big_0	4	192	0	64	64
-	737	SI_EnemySprite_Big_1	4	256	0	64	64
-	738	SI_EnemySprite_Big_2	4	320	0	64	64
-	739	SI_EnemySprite_Big_3	4	384	0	64	64
-	740	SI_EnemySprite_Big_4	4	192	64	64	64
-	741	SI_EnemySprite_Big_5	4	256	64	64	64
-	742	SI_EnemySprite_Big_6	4	320	64	64	64
-	743	SI_EnemySprite_Big_7	4	384	64	64	64
-	744	SI_EnemySprite_Big_8	4	192	128	64	64
-	745	SI_EnemySprite_Big_9	4	256	128	64	64
-	746	SI_EnemySprite_Big_10	4	320	128	64	64
-	747	SI_EnemySprite_Big_11	4	384	128	64	64
-	748	SI_EnemySprite_Lily_0	4	192	320	64	64
-	749	SI_EnemySprite_Lily_1	4	256	320	64	64
-	750	SI_EnemySprite_Lily_2	4	320	320	64	64
-	751	SI_EnemySprite_Lily_3	4	384	320	64	64
-	752	SI_EnemySprite_Lily_4	4	192	384	64	64
-	753	SI_EnemySprite_Lily_5	4	256	384	64	64
-	754	SI_EnemySprite_Lily_6	4	320	384	64	64
-	755	SI_EnemySprite_Lily_7	4	384	384	64	64
-	756	SI_EnemySprite_Lily_8	4	192	448	64	64
-	757	SI_EnemySprite_Lily_9	4	256	448	64	64
-	758	SI_EnemySprite_Lily_10	4	320	448	64	64
-	759	SI_EnemySprite_Lily_11	4	384	448	64	64
-	760	SI_EnemyExSprite_Lirica_0	18	0	176	32	16
-	761	SI_EnemyExSprite_Lirica_1	18	0	192	32	16
-	762	SI_EnemyExSprite_Lirica_2	18	32	176	32	16
-	763	SI_EnemyExSprite_Lirica_3	18	64	176	32	16
-	764	SI_EnemyExSprite_Lirica_4	18	96	176	32	16
-	765	SI_EnemyExSprite_Lirica_5	18	128	176	32	16
-	766	SI_EnemyExSprite_Lirica_6	18	32	192	32	16
-	767	SI_EnemyExSprite_Lirica_7	18	64	192	32	16
-	768	SI_EnemyExSprite_Lirica_8	18	96	192	32	16
-	769	SI_EnemyExSprite_Lirica_9	18	128	192	32	16
-	770	SI_EnemyExSprite_Mystia_0	19	0	160	48	32
-	771	SI_EnemyExSprite_Mystia_1	19	48	160	48	32
-	772	SI_EnemyExSprite_Mystia_2	19	96	160	48	32
-	773	SI_EnemyExSprite_Mystia_3	19	144	160	48	32
-	774	SI_EnemyExSprite_Marlin_0	20	0	176	32	16
-	775	SI_EnemyExSprite_Lunasa_0	21	0	160	32	32
-	776	SI_EnemyExSprite_Reisen_0	64	0	192	32	32
-	777	SI_EnemyExSprite_Reisen_1	64	32	192	32	32
-	778	SI_EnemyExSprite_Reisen_2	64	64	192	32	32
-	779	SI_EnemyExSprite_Reisen_3	64	96	192	32	32
-	780	SI_EnemyExSprite_AliceBlue_0	175	0	128	32	32
-	781	SI_EnemyExSprite_AliceBlue_1	175	32	128	32	32
-	782	SI_EnemyExSprite_AliceBlue_2	175	64	128	32	32
-	783	SI_EnemyExSprite_AliceBlue_3	175	96	128	32	32
-	784	SI_EnemyExSprite_AliceBlue_4	175	128	128	32	32
-	785	SI_EnemyExSprite_AliceBlue_5	175	160	128	32	32
-	786	SI_EnemyExSprite_AliceBlue_6	175	192	128	32	32
-	787	SI_EnemyExSprite_AliceBlue_7	175	224	128	32	32
-	788	SI_EnemyExSprite_AliceRed_0	175	0	160	32	32
-	789	SI_EnemyExSprite_AliceRed_1	175	32	160	32	32
-	790	SI_EnemyExSprite_AliceRed_2	175	64	160	32	32
-	791	SI_EnemyExSprite_AliceRed_3	175	96	160	32	32
-	792	SI_EnemyExSprite_AliceRed_4	175	128	160	32	32
-	793	SI_EnemyExSprite_AliceRed_5	175	160	160	32	32
-	794	SI_EnemyExSprite_AliceRed_6	175	192	160	32	32
-	795	SI_EnemyExSprite_AliceRed_7	175	224	160	32	32
-	796	SI_EnemyExSprite_AliceGreen_0	175	0	192	32	32
-	797	SI_EnemyExSprite_AliceGreen_1	175	32	192	32	32
-	798	SI_EnemyExSprite_AliceGreen_2	175	64	192	32	32
-	799	SI_EnemyExSprite_AliceGreen_3	175	96	192	32	32
-	800	SI_EnemyExSprite_AliceGreen_4	175	128	192	32	32
-	801	SI_EnemyExSprite_AliceGreen_5	175	160	192	32	32
-	802	SI_EnemyExSprite_AliceGreen_6	175	192	192	32	32
-	803	SI_EnemyExSprite_AliceGreen_7	175	224	192	32	32
-	804	SI_EnemyExSprite_AliceYellow_0	175	0	224	32	32
-	805	SI_EnemyExSprite_AliceYellow_1	175	32	224	32	32
-	806	SI_EnemyExSprite_AliceYellow_2	175	64	224	32	32
-	807	SI_EnemyExSprite_AliceYellow_3	175	96	224	32	32
-	808	SI_EnemyExSprite_AliceYellow_4	175	128	224	32	32
-	809	SI_EnemyExSprite_AliceYellow_5	175	160	224	32	32
-	810	SI_EnemyExSprite_AliceYellow_6	175	192	224	32	32
-	811	SI_EnemyExSprite_AliceYellow_7	175	224	224	32	32
-	812	SI_EnemyExSprite_Remilia_0	178	192	0	64	80
-	813	SI_EnemyExSprite_Remilia_1	178	0	80	64	80
-	814	SI_EnemyExSprite_Remilia_2	178	64	80	64	80
-	815	SI_EnemyExSprite_Remilia_3	178	128	80	64	80
-	816	SI_EnemyExSprite_Remilia_4	178	192	0	64	80
-	817	SI_EnemyExSprite_Remilia_5	178	0	80	64	80
-	818	SI_EnemyExSprite_Remilia_6	178	64	80	64	80
-	819	SI_EnemyExSprite_Remilia_7	178	128	80	64	80
-	820	SI_EnemyExSprite_Remilia_8	178	192	80	64	80
#		Ghost(850~949)					
-	850	SI_GhostSprite_Green_0	4	352	192	32	32
-	851	SI_GhostSprite_Green_1	4	384	192	32	32
-	852	SI_GhostSprite_Green_2	4	416	192	32	32
-	853	SI_GhostSprite_Green_3	4	448	192	32	32
-	854	SI_GhostSprite_GreenActive_0	4	352	224	32	32
-	855	SI_GhostSprite_GreenActive_1	4	384	224	32	32
-	856	SI_GhostSprite_GreenActive_2	4	416	224	32	32
-	857	SI_GhostSprite_GreenActive_3	4	448	224	32	32
-	858	SI_GhostSprite_GreenActive_4	4	352	256	32	32
