73	h5nc	4C																	
Comment	Index	UserID	ChargeBullet	SIID	TimeMod	HitOnFactor	Flag	Power	DeleteTime	Arrange	Angle	AddAngle	Speed	AccelSpeed	Scale	CollisionR	Xbias	Ybias	SE
-	40	5	1	SI_PlayerBullet_05_1_1	8	-1	1500	20	180	1	31500	-150	3	0.1	1	0	0	0	60
-	41	6	0	SI_PlayerBullet_06_0_0	4	-1	200	10	0	0	0	0	18	0	1	0	10	15	60
-	42	6	0	SI_PlayerBullet_06_0_0	4	-1	200	10	0	0	0	0	18	0	1	0	-10	15	60
-	43	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	-1800	300	18	-0.1	1	0	0	0	60
-	44	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	1800	-300	18	-0.1	1	0	0	0	60
-	45	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	5400	300	6	-0.1	1	0	0	0	60
-	46	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	9000	-300	6	-0.1	1	0	0	0	60
-	47	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	12600	300	6	-0.1	1	0	0	0	60
-	48	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	16200	-300	6	-0.1	1	0	0	0	60
-	49	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	19800	300	6	-0.1	1	0	0	0	60
-	50	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	23400	-300	6	-0.1	1	0	0	0	60
-	51	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	27000	300	6	-0.1	1	0	0	0	60
-	52	6	1	SI_PlayerBullet_06_0_0	4	-1	200	20	90	0	30600	-300	6	-0.1	1	0	0	0	60
-	53	7	0	SI_PlayerBullet_07_0_0	4	-1	200	10	0	0	0	0	18	0	1	0	10	15	60
-	54	7	0	SI_PlayerBullet_07_0_0	4	-1	200	10	0	0	0	0	18	0	1	0	-10	15	60
-	55	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	0	0	8	0	1	0	0	0	60
-	56	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	1500	0	8	0	1	0	0	0	60
-	57	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	3000	0	8	0	1	0	0	0	60
-	58	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	4500	0	8	0	1	0	0	0	60
-	59	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	6000	0	8	0	1	0	0	0	60
-	60	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	7500	0	8	0	1	0	0	0	60
-	61	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	9000	0	8	0	1	0	0	0	60
-	62	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	10500	0	8	0	1	0	0	0	60
-	63	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	12000	0	8	0	1	0	0	0	60
-	64	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	13500	0	8	0	1	0	0	0	60
-	65	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	15000	0	8	0	1	0	0	0	60
-	66	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	16500	0	8	0	1	0	0	0	60
-	67	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	18000	0	8	0	1	0	0	0	60
-	68	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	19500	0	8	0	1	0	0	0	60
-	69	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	21000	0	8	0	1	0	0	0	60
-	70	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	22500	0	8	0	1	0	0	0	60
-	71	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	24000	0	8	0	1	0	0	0	60
-	72	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	25500	0	8	0	1	0	0	0	60
-	73	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	27000	0	8	0	1	0	0	0	60
-	74	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	28500	0	8	0	1	0	0	0	60
-	75	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	30000	0	8	0	1	0	0	0	60
-	76	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	31500	0	8	0	1	0	0	0	60
-	77	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	33000	0	8	0	1	0	0	0	60
-	78	7	1	SI_PlayerBullet_07_1_0	1	-1	200	15	32	0	34500	0	8	0	1	0	0	0	60
-	79	8	0	SI_PlayerBullet_08_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	10	15	60
-	80	8	0	SI_PlayerBullet_08_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	-10	15	60
-	81	8	0	SI_PlayerBullet_08_0_0	4	-1	1700	10	0	0	18000	0	18	0	1	0	0	0	60
-	82	8	1	SI_PlayerBullet_08_0_0	3	-1	1700	10	0	1	0	0	18	0	1	0	0	0	60
-	83	9	0	SI_PlayerBullet_09_0_0	4	-1	1600	10	0	0	0	0	18	0	1	0	10	15	60
-	84	9	0	SI_PlayerBullet_09_0_0	4	-1	1600	10	0	0	0	0	18	0	1	0	-10	15	60
-	85	9	1	SI_PlayerBullet_09_1_0	3	-1	200	10	0	1	0	0	12	0	1	0	0	0	60
-	86	9	1	SI_PlayerBullet_09_1_0	3	-1	200	10	0	2	0	0	12	0	1	0	0	0	60
-	87	10	0	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	1	0	0	18	0	1	0	0	0	60
-	88	10	0	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	2	0	0	18	0	1	0	0	0	60
-	89	10	1	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	3	-11000	0	18	0	1	0	0	0	60
-	90	10	1	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	3	11000	0	18	0	1	0	0	0	60
-	91	10	1	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	4	-7000	0	18	0	1	0	0	0	60
-	92	10	1	SI_PlayerBullet_10_0_0	4	-1	1600	10	0	4	7000	0	18	0	1	0	0	0	60
-	93	11	0	SI_PlayerBullet_11_0_0	5	-1	1600	10	0	0	0	0	18	0	1	0	0	0	60
-	94	11	0	SI_PlayerBullet_11_0_0	5	-1	1600	10	0	0	-4500	0	18	0	1	0	0	0	60
-	95	11	0	SI_PlayerBullet_11_0_0	5	-1	1600	10	0	0	4500	0	18	0	1	0	0	0	60
-	96	11	1	SI_PlayerBullet_11_0_0	5	-1	1600	10	0	0	0	0	18	0	1	0	0	0	60
-	97	11	1	SI_PlayerBullet_11_0_0	4	-1	1600	10	0	1	0	0	18	0	1	0	0	0	60
-	98	11	1	SI_PlayerBullet_11_0_0	4	-1	1600	10	0	2	0	0	18	0	1	0	0	0	60
-	99	12	0	SI_PlayerBullet_12_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	10	15	60
-	100	12	0	SI_PlayerBullet_12_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	-10	15	60
-	101	12	1	SI_PlayerBullet_12_1_0	1	-1	1740	10	32	1	0	0	4	0	1.5	0	0	0	60
-	102	12	1	SI_PlayerBullet_12_1_0	1	-1	1740	10	32	2	0	0	4	0	1.5	0	0	0	60
-	103	13	0	SI_PlayerBullet_13_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	0	0	60
-	104	13	0	SI_PlayerBullet_13_0_0	4	-1	1700	8	0	0	-1120	0	18	0	1	0	0	0	60
-	105	13	0	SI_PlayerBullet_13_0_0	4	-1	1700	8	0	0	1120	0	18	0	1	0	0	0	60
-	106	13	1	SI_PlayerBullet_13_1_0	4	-1	1500	15	0	0	-4500	0	18	0	1	0	0	0	60
-	107	13	1	SI_PlayerBullet_13_1_0	4	-1	1500	15	0	0	-2250	0	18	0	1	0	0	0	60
-	108	13	1	SI_PlayerBullet_13_1_0	4	-1	1500	15	0	0	0	0	18	0	1	0	0	0	60
-	109	13	1	SI_PlayerBullet_13_1_0	4	-1	1500	15	0	0	2250	0	18	0	1	0	0	0	60
-	110	13	1	SI_PlayerBullet_13_1_0	4	-1	1500	15	0	0	4500	0	18	0	1	0	0	0	60
-	111	14	0	SI_PlayerBullet_14_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	10	15	60
-	112	14	0	SI_PlayerBullet_14_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	-10	15	60
-	113	14	1	SI_PlayerBullet_14_1_0	1	0	1A00	30	0	0	0	0	4	0	1	0	0	0	90
-	114	14	1	SI_PlayerBullet_14_2_0	0	0	2200	6	70	0	0	0	0.075	0	1.5	40	0	0	4
-	115	15	0	SI_PlayerBullet_15_0_0	1	-1	41	0.4	0	0	0	0	16	0	32	0	0	16	60
-	116	15	1	SI_PlayerBullet_15_0_0	1	0	41	0.2	0	1	0	0	16	0	32	0	0	16	60
-	117	15	1	SI_PlayerBullet_15_0_0	1	0	41	0.2	0	2	0	0	16	0	32	0	0	16	60
-	118	16	0	SI_PlayerBullet_16_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	10	15	60
-	119	16	0	SI_PlayerBullet_16_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	-10	15	60
-	120	16	1	SI_PlayerBullet_16_1_0	4	-1	1200	8	0	1	0	0	18	0	1	0	0	0	60
-	121	16	1	SI_PlayerBullet_16_1_0	4	-1	1200	8	0	2	0	0	18	0	1	0	0	0	60
-	122	16	1	SI_PlayerBullet_16_2_0	4	-1	1200	8	0	3	0	0	18	0	1	0	0	0	60
-	123	16	1	SI_PlayerBullet_16_2_0	4	-1	1200	8	0	4	0	0	18	0	1	0	0	0	60
-	124	17	0	SI_PlayerBullet_17_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	10	15	60
-	125	17	0	SI_PlayerBullet_17_0_0	4	-1	1200	10	0	0	0	0	18	0	1	0	-10	15	60
-	126	17	1	SI_PlayerBullet_17_1_0	4	-1	1512	10	0	0	0	0	18	0	1	0	0	0	60
-	127	18	0	SI_PlayerBullet_18_0_0	4	-1	1000	10	0	0	0	0	18	0	0.75	0	10	15	60
-	128	18	0	SI_PlayerBullet_18_0_0	4	-1	1000	10	0	0	0	0	18	0	0.75	0	-10	15	60
-	129	18	1	SI_PlayerBullet_18_1_0	4	-1	1000	10	0	1	0	0	18	0	0.75	0	0	0	60
-	130	18	1	SI_PlayerBullet_18_1_0	4	-1	1000	10	0	2	0	0	18	0	0.75	0	0	0	60
-	131	19	0	SI_PlayerBullet_19_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	10	15	60
-	132	19	0	SI_PlayerBullet_19_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	-10	15	60
-	133	19	1	SI_PlayerBullet_19_1_0	4	-1	1700	10	0	1	0	0	18	0	1	0	0	0	60
-	134	19	1	SI_PlayerBullet_19_1_0	4	-1	1700	10	0	2	0	0	18	0	1	0	0	0	60
-	135	19	1	SI_PlayerBullet_19_1_0	4	-1	1700	10	0	3	0	0	18	0	1	0	0	0	60
-	136	19	1	SI_PlayerBullet_19_1_0	4	-1	1700	10	0	4	0	0	18	0	1	0	0	0	60
-	137	20	0	SI_PlayerBullet_20_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	10	15	60
-	138	20	0	SI_PlayerBullet_20_0_0	4	-1	1700	10	0	0	0	0	18	0	1	0	-10	15	60
-	139	20	1	SI_PlayerBullet_20_1_0	1	0	41	1	0	1	0	0	4	0	16	0	0	0	60
-	140	20	1	SI_PlayerBullet_20_1_0	1	0	41	1	0	2	0	0	4	0	16	0	0	0	60
-	141	20	1	SI_PlayerBullet_20_1_0	1	0	41	1	0	3	0	0	4	0	16	0	0	0	60
-	142	20	1	SI_PlayerBullet_20_1_0	1	0	41	1	0	4	0	0	4	0	16	0	0	0	60
-	143	21	0	SI_PlayerBullet_21_0_0	4	-1	1000	10	0	0	0	0	18	0	0.75	0	10	15	60
-	144	21	0	SI_PlayerBullet_21_0_0	4	-1	1000	10	0	0	0	0	18	0	0.75	0	-10	15	60
-	145	21	1	SI_PlayerBullet_21_1_0	4	-1	1000	10	0	1	0	0	18	0	0.75	0	0	0	60
-	146	22	0	SI_PlayerBullet_22_0_0	4	-1	1710	10	0	0	0	0	18	0	1	0	0	0	60
-	147	22	0	SI_PlayerBullet_22_0_0	4	-1	1710	10	0	0	0	0	18	0	1	0	0	0	60
-	148	22	1	SI_PlayerBullet_22_1_0	8	-1	1600	15	0	1	0	0	12	0.1	1	0	0	0	60
-	149	22	1	SI_PlayerBullet_22_2_0	8	0	1D00	4	0	2	-1600	0	12	0.1	1	0	0	0	60
-	150	22	1	SI_PlayerBullet_22_2_0	8	0	1D00	4	0	3	1600	0	12	0.1	1	0	0	0	60
-	151	23	0	SI_PlayerBullet_23_0_0	4	-1	1000	10	0	0	0	0	18	0	0.5	0	10	15	60
-	152	23	0	SI_PlayerBullet_23_0_0	4	-1	1000	10	0	0	0	0	18	0	0.5	0	-10	15	60
-	153	23	1	SI_PlayerBullet_23_1_0	4	-1	1000	10	0	1	0	0	18	0	0.5	0	0	0	60
